year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
2010,AL,CLE,CLE,C,4,162,69,93,N,N,N,N,646,752,Cleveland Indians,1394812,61203966
2011,AL,CLE,CLE,C,2,162,80,82,N,N,N,N,704,760,Cleveland Indians,1840835,48776566
2012,AL,CLE,CLE,C,4,162,68,94,N,N,N,N,667,845,Cleveland Indians,1603596,78430300
2013,AL,CLE,CLE,C,2,162,92,70,N,Y,N,N,745,662,Cleveland Indians,1572926,75771800
2014,AL,CLE,CLE,C,3,162,85,77,N,N,N,N,669,653,Cleveland Indians,1437393,82151899
2015,AL,CLE,CLE,C,3,161,81,80,N,N,N,N,669,640,Cleveland Indians,1388905,87663766
2016,AL,CLE,CLE,C,1,161,94,67,Y,N,Y,N,777,676,Cleveland Indians,1591667,74311900
2017,AL,CLE,CLE,C,1,162,102,60,Y,N,N,N,818,564,Cleveland Indians,2048138,124861165
2018,AL,CLE,CLE,C,1,162,91,71,Y,N,N,N,818,648,Cleveland Indians,1926701,134350000
2019,AL,CLE,CLE,C,2,162,93,69,N,N,N,N,769,657,Cleveland Indians,1738642,118991701
2020,AL,CLE,CLE,C,2,60,35,25,N,Y,N,N,248,209,Cleveland Indians,0,37642966
1993,NL,COL,COL,W,6,162,67,95,N,,N,N,758,967,Colorado Rockies,4483350,10353500
1994,NL,COL,COL,W,3,117,53,64,,,,,573,638,Colorado Rockies,3281511,23887333
1995,NL,COL,COL,W,2,144,77,67,N,Y,N,N,785,783,Colorado Rockies,3390037,34154717
1996,NL,COL,COL,W,3,162,83,79,N,N,N,N,961,964,Colorado Rockies,3891014,40179823
1997,NL,COL,COL,W,3,162,83,79,N,N,N,N,923,908,Colorado Rockies,3888453,43559667
1998,NL,COL,COL,W,4,162,77,85,N,N,N,N,826,855,Colorado Rockies,3792683,50484648
1999,NL,COL,COL,W,5,162,72,90,N,N,N,N,906,1028,Colorado Rockies,3481065,61935837
2000,NL,COL,COL,W,4,162,82,80,N,N,N,N,968,897,Colorado Rockies,3295129,61111190
2001,NL,COL,COL,W,5,162,73,89,N,N,N,N,923,906,Colorado Rockies,3166821,71541334
2002,NL,COL,COL,W,4,162,73,89,N,N,N,N,778,898,Colorado Rockies,2737838,56851043
2003,NL,COL,COL,W,4,162,74,88,N,N,N,N,853,892,Colorado Rockies,2334085,67179667
2004,NL,COL,COL,W,4,162,68,94,N,N,N,N,833,923,Colorado Rockies,2338069,65445167
2005,NL,COL,COL,W,5,162,67,95,N,N,N,N,740,862,Colorado Rockies,1914389,47839000
2006,NL,COL,COL,W,4,162,76,86,N,N,N,N,813,812,Colorado Rockies,2104362,41233000
2007,NL,COL,COL,W,2,163,90,73,N,Y,Y,N,860,758,Colorado Rockies,2376250,54041000
2008,NL,COL,COL,W,3,162,74,88,N,N,N,N,747,822,Colorado Rockies,2650218,68655500
2009,NL,COL,COL,W,2,162,92,70,N,Y,N,N,804,715,Colorado Rockies,2665080,75201000
2010,NL,COL,COL,W,3,162,83,79,N,N,N,N,770,717,Colorado Rockies,2875245,84227000
2011,NL,COL,COL,W,4,162,73,89,N,N,N,N,735,774,Colorado Rockies,2909777,88148071
2012,NL,COL,COL,W,5,162,64,98,N,N,N,N,758,890,Colorado Rockies,2630458,78069571
2013,NL,COL,COL,W,5,162,74,88,N,N,N,N,706,760,Colorado Rockies,2793828,74409071
2014,NL,COL,COL,W,4,162,66,96,N,N,N,N,755,818,Colorado Rockies,2680329,95403500
2015,NL,COL,COL,W,5,162,68,94,N,N,N,N,737,844,Colorado Rockies,2506789,95688600
2016,NL,COL,COL,W,3,162,75,87,N,N,N,N,845,860,Colorado Rockies,2602524,112645071
2017,NL,COL,COL,W,3,162,87,75,N,Y,N,N,824,757,Colorado Rockies,2953650,130963571
2018,NL,COL,COL,W,2,163,91,72,N,Y,N,N,780,745,Colorado Rockies,3015880,141340000
2019,NL,COL,COL,W,4,162,71,91,N,N,N,N,835,958,Colorado Rockies,2993244,145933009
2020,NL,COL,COL,W,4,60,26,34,N,N,N,N,275,353,Colorado Rockies,0,60330370
1901,AL,DET,DET,,3,135,74,61,,,N,,741,694,Detroit Tigers,259430,
1902,AL,DET,DET,,7,137,52,83,,,N,,566,657,Detroit Tigers,189469,
1903,AL,DET,DET,,5,137,65,71,,,N,N,567,539,Detroit Tigers,224523,
1904,AL,DET,DET,,7,162,62,90,,,N,,505,627,Detroit Tigers,177796,
1905,AL,DET,DET,,3,154,79,74,,,N,N,512,604,Detroit Tigers,193384,
1906,AL,DET,DET,,6,151,71,78,,,N,N,518,598,Detroit Tigers,174043,
1907,AL,DET,DET,,1,153,92,58,,,Y,N,693,531,Detroit Tigers,297079,
1908,AL,DET,DET,,1,154,90,63,,,Y,N,647,547,Detroit Tigers,436199,
1909,AL,DET,DET,,1,158,98,54,,,Y,N,666,493,Detroit Tigers,490490,
1910,AL,DET,DET,,3,155,86,68,,,N,N,679,584,Detroit Tigers,391288,
1911,AL,DET,DET,,2,154,89,65,,,N,N,831,776,Detroit Tigers,484988,
1912,AL,DET,DET,,6,154,69,84,,,N,N,720,777,Detroit Tigers,402870,
1913,AL,DET,DET,,6,153,66,87,,,N,N,624,716,Detroit Tigers,398502,
1914,AL,DET,DET,,4,157,80,73,,,N,N,615,618,Detroit Tigers,416225,
1915,AL,DET,DET,,2,156,100,54,,,N,N,778,597,Detroit Tigers,476105,
1916,AL,DET,DET,,3,155,87,67,,,N,N,670,595,Detroit Tigers,616772,
1917,AL,DET,DET,,4,154,78,75,,,N,N,639,577,Detroit Tigers,457289,
1918,AL,DET,DET,,7,128,55,71,,,N,N,476,557,Detroit Tigers,203719,
1919,AL,DET,DET,,4,140,80,60,,,N,N,618,578,Detroit Tigers,643805,
1920,AL,DET,DET,,7,155,61,93,,,N,N,652,833,Detroit Tigers,579650,
1921,AL,DET,DET,,6,154,71,82,,,N,N,883,852,Detroit Tigers,661527,
1922,AL,DET,DET,,3,155,79,75,,,N,N,828,791,Detroit Tigers,861206,
1923,AL,DET,DET,,2,155,83,71,,,N,N,831,741,Detroit Tigers,911377,
1924,AL,DET,DET,,3,156,86,68,,,N,N,849,796,Detroit Tigers,1015136,
1925,AL,DET,DET,,4,156,81,73,,,N,N,903,829,Detroit Tigers,820766,
1926,AL,DET,DET,,6,157,79,75,,,N,N,793,830,Detroit Tigers,711914,
1927,AL,DET,DET,,4,156,82,71,,,N,N,845,805,Detroit Tigers,773716,
1928,AL,DET,DET,,6,154,68,86,,,N,N,744,804,Detroit Tigers,474323,
1929,AL,DET,DET,,6,155,70,84,,,N,N,926,928,Detroit Tigers,869318,
1930,AL,DET,DET,,5,154,75,79,,,N,N,783,833,Detroit Tigers,649450,
1931,AL,DET,DET,,7,154,61,93,,,N,N,651,836,Detroit Tigers,434056,
1932,AL,DET,DET,,5,153,76,75,,,N,N,799,787,Detroit Tigers,397157,
1933,AL,DET,DET,,5,155,75,79,,,N,N,722,733,Detroit Tigers,320972,
1934,AL,DET,DET,,1,154,101,53,,,Y,N,958,708,Detroit Tigers,919161,
1935,AL,DET,DET,,1,152,93,58,,,Y,Y,919,665,Detroit Tigers,1034929,
1936,AL,DET,DET,,2,154,83,71,,,N,N,921,871,Detroit Tigers,875948,
1937,AL,DET,DET,,2,155,89,65,,,N,N,935,841,Detroit Tigers,1072276,
1938,AL,DET,DET,,4,155,84,70,,,N,N,862,795,Detroit Tigers,799557,
1939,AL,DET,DET,,5,155,81,73,,,N,N,849,762,Detroit Tigers,836279,
1940,AL,DET,DET,,1,155,90,64,,,Y,N,888,717,Detroit Tigers,1112693,
1941,AL,DET,DET,,4,155,75,79,,,N,N,686,743,Detroit Tigers,684915,
1942,AL,DET,DET,,5,156,73,81,,,N,N,589,587,Detroit Tigers,580087,
1943,AL,DET,DET,,5,155,78,76,,,N,N,632,560,Detroit Tigers,606287,
1944,AL,DET,DET,,2,156,88,66,,,N,N,658,581,Detroit Tigers,923176,
1945,AL,DET,DET,,1,155,88,65,,,Y,Y,633,565,Detroit Tigers,1280341,
1946,AL,DET,DET,,2,155,92,62,,,N,N,704,567,Detroit Tigers,1722590,
1947,AL,DET,DET,,2,158,85,69,,,N,N,714,642,Detroit Tigers,1398093,
1948,AL,DET,DET,,5,154,78,76,,,N,N,700,726,Detroit Tigers,1743035,
1949,AL,DET,DET,,4,155,87,67,,,N,N,751,655,Detroit Tigers,1821204,
1950,AL,DET,DET,,2,157,95,59,,,N,N,837,713,Detroit Tigers,1951474,
1951,AL,DET,DET,,5,154,73,81,,,N,N,685,741,Detroit Tigers,1132641,
1952,AL,DET,DET,,8,156,50,104,,,N,N,557,738,Detroit Tigers,1026846,
1953,AL,DET,DET,,6,158,60,94,,,N,N,695,923,Detroit Tigers,884658,
1954,AL,DET,DET,,5,155,68,86,,,N,N,584,664,Detroit Tigers,1079847,
1955,AL,DET,DET,,5,154,79,75,,,N,N,775,658,Detroit Tigers,1181838,
1956,AL,DET,DET,,5,155,82,72,,,N,N,789,699,Detroit Tigers,1051182,
1957,AL,DET,DET,,4,154,78,76,,,N,N,614,614,Detroit Tigers,1272346,
1958,AL,DET,DET,,5,154,77,77,,,N,N,659,606,Detroit Tigers,1098924,
1959,AL,DET,DET,,4,154,76,78,,,N,N,713,732,Detroit Tigers,1221221,
1960,AL,DET,DET,,6,154,71,83,,,N,N,633,644,Detroit Tigers,1167669,
1961,AL,DET,DET,,2,163,101,61,,,N,N,841,671,Detroit Tigers,1600710,
1962,AL,DET,DET,,4,161,85,76,,,N,N,758,692,Detroit Tigers,1207881,
1963,AL,DET,DET,,5,162,79,83,,,N,N,700,703,Detroit Tigers,821952,
1964,AL,DET,DET,,4,163,85,77,,,N,N,699,678,Detroit Tigers,816139,
1965,AL,DET,DET,,4,162,89,73,,,N,N,680,602,Detroit Tigers,1029645,
1966,AL,DET,DET,,3,162,88,74,,,N,N,719,698,Detroit Tigers,1124293,
1967,AL,DET,DET,,2,163,91,71,,,N,N,683,587,Detroit Tigers,1447143,
1968,AL,DET,DET,,1,164,103,59,,,Y,Y,671,492,Detroit Tigers,2031847,
1969,AL,DET,DET,E,2,162,90,72,N,,N,N,701,601,Detroit Tigers,1577481,
1970,AL,DET,DET,E,4,162,79,83,N,,N,N,666,731,Detroit Tigers,1501293,
1971,AL,DET,DET,E,2,162,91,71,N,,N,N,701,645,Detroit Tigers,1591073,
1972,AL,DET,DET,E,1,156,86,70,Y,,N,N,558,514,Detroit Tigers,1892386,
1973,AL,DET,DET,E,3,162,85,77,N,,N,N,642,674,Detroit Tigers,1724146,
1974,AL,DET,DET,E,6,162,72,90,N,,N,N,620,768,Detroit Tigers,1243080,
1975,AL,DET,DET,E,6,159,57,102,N,,N,N,570,786,Detroit Tigers,1058836,
1976,AL,DET,DET,E,5,161,74,87,N,,N,N,609,709,Detroit Tigers,1467020,
1977,AL,DET,DET,E,4,162,74,88,N,,N,N,714,751,Detroit Tigers,1359856,
1978,AL,DET,DET,E,5,162,86,76,N,,N,N,714,653,Detroit Tigers,1714893,
1979,AL,DET,DET,E,5,160,85,76,N,,N,N,770,738,Detroit Tigers,1630929,
1980,AL,DET,DET,E,4,163,84,78,N,,N,N,830,757,Detroit Tigers,1785293,
1981,AL,DET,DET,E,3,109,60,49,N,,N,N,427,404,Detroit Tigers,1149144,
1982,AL,DET,DET,E,4,162,83,79,N,,N,N,729,685,Detroit Tigers,1636058,
1983,AL,DET,DET,E,2,162,92,70,N,,N,N,789,679,Detroit Tigers,1829636,
1984,AL,DET,DET,E,1,162,104,58,Y,,Y,Y,829,643,Detroit Tigers,2704794,
1985,AL,DET,DET,E,3,161,84,77,N,,N,N,729,688,Detroit Tigers,2286609,10348143
1986,AL,DET,DET,E,3,162,87,75,N,,N,N,798,714,Detroit Tigers,1899437,12335714
1987,AL,DET,DET,E,1,162,98,64,Y,,N,N,896,735,Detroit Tigers,2061830,12122881
1988,AL,DET,DET,E,2,162,88,74,N,,N,N,703,658,Detroit Tigers,2081162,12869571
1989,AL,DET,DET,E,7,162,59,103,N,,N,N,617,816,Detroit Tigers,1543656,15146404
1990,AL,DET,DET,E,3,162,79,83,N,,N,N,750,754,Detroit Tigers,1495785,17593238
1991,AL,DET,DET,E,2,162,84,78,N,,N,N,817,794,Detroit Tigers,1641661,23838333
1992,AL,DET,DET,E,6,162,75,87,N,,N,N,791,794,Detroit Tigers,1423963,27322834
1993,AL,DET,DET,E,3,162,85,77,N,,N,N,899,837,Detroit Tigers,1971421,38150165
1994,AL,DET,DET,E,5,115,53,62,,,,,652,671,Detroit Tigers,1184783,41446501
1995,AL,DET,DET,E,4,144,60,84,N,N,N,N,654,844,Detroit Tigers,1180979,37044168
1996,AL,DET,DET,E,5,162,53,109,N,N,N,N,783,1103,Detroit Tigers,1168610,23438000
1997,AL,DET,DET,E,3,162,79,83,N,N,N,N,784,790,Detroit Tigers,1365157,17272000
1998,AL,DET,DET,C,5,162,65,97,N,N,N,N,722,863,Detroit Tigers,1409391,24065000
1999,AL,DET,DET,C,3,161,69,92,N,N,N,N,747,882,Detroit Tigers,2026441,36489666
2000,AL,DET,DET,C,3,162,79,83,N,N,N,N,823,827,Detroit Tigers,2438617,58265167
2001,AL,DET,DET,C,4,162,66,96,N,N,N,N,724,876,Detroit Tigers,1921305,53416167
2002,AL,DET,DET,C,5,161,55,106,N,N,N,N,575,864,Detroit Tigers,1503623,55048000
2003,AL,DET,DET,C,5,162,43,119,N,N,N,N,591,928,Detroit Tigers,1368245,49168000
2004,AL,DET,DET,C,4,162,72,90,N,N,N,N,827,844,Detroit Tigers,1917004,46832000
2005,AL,DET,DET,C,4,162,71,91,N,N,N,N,723,787,Detroit Tigers,2024431,69092000
2006,AL,DET,DET,C,2,162,95,67,N,Y,Y,N,822,675,Detroit Tigers,2595937,82612866
2007,AL,DET,DET,C,2,162,88,74,N,N,N,N,887,797,Detroit Tigers,3047133,94800369
2008,AL,DET,DET,C,5,162,74,88,N,N,N,N,821,857,Detroit Tigers,3202645,137685196
2009,AL,DET,DET,C,2,163,86,77,N,N,N,N,743,745,Detroit Tigers,2567165,115085145
2010,AL,DET,DET,C,3,162,81,81,N,N,N,N,751,743,Detroit Tigers,2461237,122864928
2011,AL,DET,DET,C,1,162,95,67,Y,N,N,N,787,711,Detroit Tigers,2642045,105700231
2012,AL,DET,DET,C,1,162,88,74,Y,N,Y,N,726,670,Detroit Tigers,3028033,132300000
2013,AL,DET,DET,C,1,162,93,69,Y,N,N,N,796,624,Detroit Tigers,3083397,145989500
2014,AL,DET,DET,C,1,162,90,72,Y,N,N,N,757,705,Detroit Tigers,2917209,152855500
2015,AL,DET,DET,C,5,161,74,87,N,N,N,N,689,803,Detroit Tigers,2726048,172284750
2016,AL,DET,DET,C,2,161,86,75,N,N,N,N,750,721,Detroit Tigers,2493859,194876481
2017,AL,DET,DET,C,5,162,64,98,N,N,N,N,735,894,Detroit Tigers,2321599,199750600
2018,AL,DET,DET,C,3,162,64,98,N,N,N,N,630,796,Detroit Tigers,1856970,129920000
2019,AL,DET,DET,C,5,161,47,114,N,N,N,N,582,915,Detroit Tigers,1501430,101923400
2020,AL,DET,DET,C,5,58,23,35,N,N,N,N,249,318,Detroit Tigers,0,43069928
1993,NL,FLO,FLA,E,6,162,64,98,N,,N,N,581,724,Florida Marlins,3064847,19330545
1994,NL,FLO,FLA,E,5,115,51,64,,,,,468,576,Florida Marlins,1937467,21633000
1995,NL,FLO,FLA,E,4,143,67,76,N,N,N,N,673,673,Florida Marlins,1700466,24515781
1996,NL,FLO,FLA,E,3,162,80,82,N,N,N,N,688,703,Florida Marlins,1746767,31022500
1997,NL,FLO,FLA,E,2,162,92,70,N,Y,Y,Y,740,669,Florida Marlins,2364387,48692500
1998,NL,FLO,FLA,E,5,162,54,108,N,N,N,N,667,923,Florida Marlins,1730384,41322667
1999,NL,FLO,FLA,E,5,162,64,98,N,N,N,N,691,852,Florida Marlins,1369421,21085000
2000,NL,FLO,FLA,E,3,161,79,82,N,N,N,N,731,797,Florida Marlins,1218326,19872000
2001,NL,FLO,FLA,E,4,162,76,86,N,N,N,N,742,744,Florida Marlins,1261226,35762500
2002,NL,FLO,FLA,E,4,162,79,83,N,N,N,N,699,763,Florida Marlins,813118,41979917
2003,NL,FLO,FLA,E,2,162,91,71,N,Y,Y,Y,751,692,Florida Marlins,1303215,49450000
2004,NL,FLO,FLA,E,3,162,83,79,N,N,N,N,718,700,Florida Marlins,1723105,42143042
2005,NL,FLO,FLA,E,3,162,83,79,N,N,N,N,717,732,Florida Marlins,1852608,60408834
2006,NL,FLO,FLA,E,4,162,78,84,N,N,N,N,758,772,Florida Marlins,1164134,14671500
2007,NL,FLO,FLA,E,5,162,71,91,N,N,N,N,790,891,Florida Marlins,1370511,30507000
2008,NL,FLO,FLA,E,3,161,84,77,N,N,N,N,770,767,Florida Marlins,1335076,21811500
2009,NL,FLO,FLA,E,2,162,87,75,N,N,N,N,772,766,Florida Marlins,1464109,36834000
2010,NL,FLO,FLA,E,3,162,80,82,N,N,N,N,719,717,Florida Marlins,1535226,57029719
2011,NL,FLO,FLA,E,5,162,72,90,N,N,N,N,625,702,Florida Marlins,1477462,56944000
2012,NL,MIA,FLA,E,5,162,69,93,N,N,N,N,609,724,Miami Marlins,2219444,118078000
2013,NL,MIA,FLA,E,5,162,62,100,N,N,N,N,513,646,Miami Marlins,1586322,33601900
2014,NL,MIA,FLA,E,4,162,77,85,N,N,N,N,645,674,Miami Marlins,1732283,41836900
2015,NL,MIA,FLA,E,3,162,71,91,N,N,N,N,613,678,Miami Marlins,1752235,68056500
2016,NL,MIA,FLA,E,3,161,79,82,N,N,N,N,655,682,Miami Marlins,1712417,77314202
2017,NL,MIA,FLA,E,2,162,77,85,N,N,N,N,778,822,Miami Marlins,1583014,111881100
2018,NL,MIA,FLA,E,5,161,63,98,N,N,N,N,589,809,Miami Marlins,811104,98640000
2019,NL,MIA,FLA,E,5,162,57,105,N,N,N,N,615,808,Miami Marlins,811302,71239714
2020,NL,MIA,FLA,E,2,60,31,29,N,Y,N,N,263,304,Miami Marlins,0,28560819
1962,NL,HOU,HOU,,8,162,64,96,,,N,N,592,717,Houston Colt .45's,924456,
1963,NL,HOU,HOU,,9,162,66,96,,,N,N,464,640,Houston Colt .45's,719502,
1964,NL,HOU,HOU,,9,162,66,96,,,N,N,495,628,Houston Colt .45's,725773,
1965,NL,HOU,HOU,,9,162,65,97,,,N,N,569,711,Houston Astros,2151470,
1966,NL,HOU,HOU,,8,163,72,90,,,N,N,612,695,Houston Astros,1872108,
1967,NL,HOU,HOU,,9,162,69,93,,,N,N,626,742,Houston Astros,1348303,
1968,NL,HOU,HOU,,10,162,72,90,,,N,N,510,588,Houston Astros,1312887,
1969,NL,HOU,HOU,W,5,162,81,81,N,,N,N,676,668,Houston Astros,1442995,
1970,NL,HOU,HOU,W,4,162,79,83,N,,N,N,744,763,Houston Astros,1253444,
1971,NL,HOU,HOU,W,4,162,79,83,N,,N,N,585,567,Houston Astros,1261589,
1972,NL,HOU,HOU,W,3,153,84,69,N,,N,N,708,636,Houston Astros,1469247,
1973,NL,HOU,HOU,W,4,162,82,80,N,,N,N,681,672,Houston Astros,1394004,
1974,NL,HOU,HOU,W,4,162,81,81,N,,N,N,653,632,Houston Astros,1090728,
1975,NL,HOU,HOU,W,6,162,64,97,N,,N,N,664,711,Houston Astros,858002,
1976,NL,HOU,HOU,W,3,162,80,82,N,,N,N,625,657,Houston Astros,886146,
1977,NL,HOU,HOU,W,3,162,81,81,N,,N,N,680,650,Houston Astros,1109560,
1978,NL,HOU,HOU,W,5,162,74,88,N,,N,N,605,634,Houston Astros,1126145,
1979,NL,HOU,HOU,W,2,162,89,73,N,,N,N,583,582,Houston Astros,1900312,
1980,NL,HOU,HOU,W,1,163,93,70,Y,,N,N,637,589,Houston Astros,2278217,
1981,NL,HOU,HOU,W,3,110,61,49,Y,,N,N,394,331,Houston Astros,1321282,
1982,NL,HOU,HOU,W,5,162,77,85,N,,N,N,569,620,Houston Astros,1558555,
1983,NL,HOU,HOU,W,3,162,85,77,N,,N,N,643,646,Houston Astros,1351962,
1984,NL,HOU,HOU,W,2,162,80,82,N,,N,N,693,630,Houston Astros,1229862,
1985,NL,HOU,HOU,W,3,162,83,79,N,,N,N,706,691,Houston Astros,1184314,9993051
1986,NL,HOU,HOU,W,1,162,96,66,Y,,N,N,654,569,Houston Astros,1734276,9873276
1987,NL,HOU,HOU,W,3,162,76,86,N,,N,N,648,678,Houston Astros,1909902,12608371
1988,NL,HOU,HOU,W,5,162,82,80,N,,N,N,617,631,Houston Astros,1933505,12286167
1989,NL,HOU,HOU,W,3,162,86,76,N,,N,N,647,669,Houston Astros,1834908,15029500
1990,NL,HOU,HOU,W,4,162,75,87,N,,N,N,573,656,Houston Astros,1310927,18330000
1991,NL,HOU,HOU,W,6,162,65,97,N,,N,N,605,717,Houston Astros,1196152,12852500
1992,NL,HOU,HOU,W,4,162,81,81,N,,N,N,608,668,Houston Astros,1211412,15407500
1993,NL,HOU,HOU,W,3,162,85,77,N,,N,N,716,630,Houston Astros,2084618,30210500
1994,NL,HOU,HOU,C,2,115,66,49,,,,,602,503,Houston Astros,1561136,33126000
1995,NL,HOU,HOU,C,2,144,76,68,N,N,N,N,747,674,Houston Astros,1363801,34169834
1996,NL,HOU,HOU,C,2,162,82,80,N,N,N,N,753,792,Houston Astros,1975888,28487000
1997,NL,HOU,HOU,C,1,162,84,78,Y,N,N,N,777,660,Houston Astros,2046781,34777500
1998,NL,HOU,HOU,C,1,162,102,60,Y,N,N,N,874,620,Houston Astros,2458451,42374000
1999,NL,HOU,HOU,C,1,162,97,65,Y,N,N,N,823,675,Houston Astros,2706017,54914000
2000,NL,HOU,HOU,C,4,162,72,90,N,N,N,N,938,944,Houston Astros,3056139,51289111
2001,NL,HOU,HOU,C,1,162,93,69,Y,N,N,N,847,769,Houston Astros,2904277,60612667
2002,NL,HOU,HOU,C,2,162,84,78,N,N,N,N,749,695,Houston Astros,2517357,63448417
2003,NL,HOU,HOU,C,2,162,87,75,N,N,N,N,805,677,Houston Astros,2454241,71040000
2004,NL,HOU,HOU,C,2,162,92,70,N,Y,N,N,803,698,Houston Astros,3087872,75397000
2005,NL,HOU,HOU,C,2,163,89,73,N,Y,Y,N,693,609,Houston Astros,2804760,76779000
2006,NL,HOU,HOU,C,2,162,82,80,N,N,N,N,735,719,Houston Astros,3022763,88694435
2007,NL,HOU,HOU,C,4,162,73,89,N,N,N,N,723,813,Houston Astros,3020405,87759000
2008,NL,HOU,HOU,C,3,161,86,75,N,N,N,N,712,743,Houston Astros,2779487,88930414
2009,NL,HOU,HOU,C,5,162,74,88,N,N,N,N,643,770,Houston Astros,2521076,102996414
2010,NL,HOU,HOU,C,4,162,76,86,N,N,N,N,611,729,Houston Astros,2331490,92355500
2011,NL,HOU,HOU,C,6,162,56,106,N,N,N,N,615,796,Houston Astros,2067016,70694000
2012,NL,HOU,HOU,C,6,162,55,107,N,N,N,N,583,794,Houston Astros,1607733,60651000
2013,AL,HOU,HOU,W,5,162,51,111,N,N,N,N,610,848,Houston Astros,1651883,17890700
2014,AL,HOU,HOU,W,4,162,70,92,N,N,N,N,629,723,Houston Astros,1751829,35116300
2015,AL,HOU,HOU,W,2,162,86,76,N,Y,N,N,729,618,Houston Astros,2153585,72256200
2016,AL,HOU,HOU,W,3,162,84,78,N,N,N,N,724,701,Houston Astros,2306623,94893700
2017,AL,HOU,HOU,W,1,162,101,61,Y,N,Y,Y,896,700,Houston Astros,2403671,124343900
2018,AL,HOU,HOU,W,1,162,103,59,Y,N,N,N,797,534,Houston Astros,2980549,160040000
2019,AL,HOU,HOU,W,1,162,107,55,Y,N,Y,N,920,640,Houston Astros,2857367,159719666
2020,AL,HOU,HOU,W,2,60,29,31,N,Y,N,N,279,275,Houston Astros,0,81848621
1969,AL,KCA,KCR,W,4,163,69,93,N,,N,N,586,688,Kansas City Royals,902414,
1970,AL,KCA,KCR,W,4,162,65,97,N,,N,N,611,705,Kansas City Royals,693047,
1971,AL,KCA,KCR,W,2,161,85,76,N,,N,N,603,566,Kansas City Royals,910784,
1972,AL,KCA,KCR,W,4,154,76,78,N,,N,N,580,545,Kansas City Royals,707656,
1973,AL,KCA,KCR,W,2,162,88,74,N,,N,N,755,752,Kansas City Royals,1345341,
1974,AL,KCA,KCR,W,5,162,77,85,N,,N,N,667,662,Kansas City Royals,1173292,
1975,AL,KCA,KCR,W,2,162,91,71,N,,N,N,710,649,Kansas City Royals,1151836,
1976,AL,KCA,KCR,W,1,162,90,72,Y,,N,N,713,611,Kansas City Royals,1680265,
1977,AL,KCA,KCR,W,1,162,102,60,Y,,N,N,822,651,Kansas City Royals,1852603,
1978,AL,KCA,KCR,W,1,162,92,70,Y,,N,N,743,634,Kansas City Royals,2255493,
1979,AL,KCA,KCR,W,2,162,85,77,N,,N,N,851,816,Kansas City Royals,2261845,
1980,AL,KCA,KCR,W,1,162,97,65,Y,,Y,N,809,694,Kansas City Royals,2288714,
1981,AL,KCA,KCR,W,4,103,50,53,Y,,N,N,397,405,Kansas City Royals,1279403,
1982,AL,KCA,KCR,W,2,162,90,72,N,,N,N,784,717,Kansas City Royals,2284464,
1983,AL,KCA,KCR,W,2,163,79,83,N,,N,N,696,767,Kansas City Royals,1963875,
1984,AL,KCA,KCR,W,1,162,84,78,Y,,N,N,673,686,Kansas City Royals,1810018,
1985,AL,KCA,KCR,W,1,162,91,71,Y,,Y,Y,687,639,Kansas City Royals,2162717,9321179
1986,AL,KCA,KCR,W,3,162,76,86,N,,N,N,654,673,Kansas City Royals,2320794,13043698
1987,AL,KCA,KCR,W,2,162,83,79,N,,N,N,715,691,Kansas City Royals,2392471,11828056
1988,AL,KCA,KCR,W,3,161,84,77,N,,N,N,704,648,Kansas City Royals,2350181,14556562
1989,AL,KCA,KCR,W,2,162,92,70,N,,N,N,690,635,Kansas City Royals,2477700,18683568
1990,AL,KCA,KCR,W,6,161,75,86,N,,N,N,707,709,Kansas City Royals,2244956,23361084
1991,AL,KCA,KCR,W,6,162,82,80,N,,N,N,727,722,Kansas City Royals,2161537,26319834
1992,AL,KCA,KCR,W,5,162,72,90,N,,N,N,610,667,Kansas City Royals,1867689,33893834
1993,AL,KCA,KCR,W,3,162,84,78,N,,N,N,675,694,Kansas City Royals,1934578,41346167
1994,AL,KCA,KCR,C,3,115,64,51,,,,,574,532,Kansas City Royals,1400494,40541334
1995,AL,KCA,KCR,C,2,144,70,74,N,N,N,N,629,691,Kansas City Royals,1233530,29532834
1996,AL,KCA,KCR,C,5,161,75,86,N,N,N,N,746,786,Kansas City Royals,1435997,20281250
1997,AL,KCA,KCR,C,5,161,67,94,N,N,N,N,747,820,Kansas City Royals,1517638,34655000
1998,AL,KCA,KCR,C,3,161,72,89,N,N,N,N,714,899,Kansas City Royals,1494875,36862500
1999,AL,KCA,KCR,C,4,161,64,97,N,N,N,N,856,921,Kansas City Royals,1506068,26225000
2000,AL,KCA,KCR,C,4,162,77,85,N,N,N,N,879,930,Kansas City Royals,1564847,23433000
2001,AL,KCA,KCR,C,5,162,65,97,N,N,N,N,729,858,Kansas City Royals,1536371,35422500
2002,AL,KCA,KCR,C,4,162,62,100,N,N,N,N,737,891,Kansas City Royals,1323036,47257000
2003,AL,KCA,KCR,C,3,162,83,79,N,N,N,N,836,867,Kansas City Royals,1779895,40518000
2004,AL,KCA,KCR,C,5,162,58,104,N,N,N,N,720,905,Kansas City Royals,1661478,47609000
2005,AL,KCA,KCR,C,5,162,56,106,N,N,N,N,701,935,Kansas City Royals,1371181,36881000
2006,AL,KCA,KCR,C,5,162,62,100,N,N,N,N,757,971,Kansas City Royals,1372638,47294000
